2026/05/12 12:19:28 go stream-gin listening on :8183
2026/05/12 12:19:29 clients=616 sent=616 dropped=0
2026/05/12 12:19:30 clients=1212 sent=1212 dropped=0
2026/05/12 12:19:31 clients=1827 sent=1827 dropped=0
2026/05/12 12:19:32 clients=2422 sent=2422 dropped=0
2026/05/12 12:19:33 clients=3027 sent=3027 dropped=0
2026/05/12 12:19:34 clients=3618 sent=3618 dropped=0
2026/05/12 12:19:35 clients=4209 sent=4209 dropped=0
2026/05/12 12:19:36 clients=4794 sent=4794 dropped=0
2026/05/12 12:19:37 clients=5000 sent=5000 dropped=0
2026/05/12 12:19:38 clients=5000 sent=5000 dropped=0
2026/05/12 12:19:39 clients=5000 sent=5000 dropped=0
2026/05/12 12:19:40 clients=5000 sent=5000 dropped=0
2026/05/12 12:19:41 clients=5000 sent=5000 dropped=0
2026/05/12 12:19:42 clients=5000 sent=5000 dropped=0
2026/05/12 12:19:43 clients=5000 sent=5000 dropped=0
2026/05/12 12:19:44 clients=5000 sent=5000 dropped=0
2026/05/12 12:19:45 clients=5000 sent=5000 dropped=0
2026/05/12 12:19:46 clients=5000 sent=5000 dropped=0
2026/05/12 12:19:47 clients=5000 sent=5000 dropped=0
2026/05/12 12:19:48 clients=5000 sent=5000 dropped=0
