2026/05/12 13:01:49 go stream listening on :8182
2026/05/12 13:01:50 clients=588 sent=588 dropped=0
2026/05/12 13:01:51 clients=1176 sent=1176 dropped=0
2026/05/12 13:01:52 clients=1758 sent=1758 dropped=0
2026/05/12 13:01:53 clients=2372 sent=2372 dropped=0
2026/05/12 13:01:54 clients=2965 sent=2965 dropped=0
2026/05/12 13:01:55 clients=3555 sent=3555 dropped=0
2026/05/12 13:01:56 clients=4153 sent=4153 dropped=0
2026/05/12 13:01:57 clients=4747 sent=4747 dropped=0
2026/05/12 13:01:58 clients=5000 sent=5000 dropped=0
2026/05/12 13:01:59 clients=5000 sent=5000 dropped=0
2026/05/12 13:02:00 clients=5000 sent=5000 dropped=0
2026/05/12 13:02:01 clients=5000 sent=5000 dropped=0
2026/05/12 13:02:02 clients=5000 sent=5000 dropped=0
2026/05/12 13:02:03 clients=5000 sent=5000 dropped=0
2026/05/12 13:02:04 clients=5000 sent=5000 dropped=0
2026/05/12 13:02:05 clients=5000 sent=5000 dropped=0
2026/05/12 13:02:06 clients=5000 sent=5000 dropped=0
2026/05/12 13:02:07 clients=5000 sent=5000 dropped=0
2026/05/12 13:02:08 clients=5000 sent=5000 dropped=0
2026/05/12 13:02:09 clients=5000 sent=5000 dropped=0
