2026/05/12 11:20:59 go stream listening on :8182
2026/05/12 11:21:00 clients=538 sent=538 dropped=0
2026/05/12 11:21:01 clients=1129 sent=1129 dropped=0
2026/05/12 11:21:02 clients=1725 sent=1725 dropped=0
2026/05/12 11:21:03 clients=2320 sent=2320 dropped=0
2026/05/12 11:21:04 clients=2914 sent=2914 dropped=0
2026/05/12 11:21:05 clients=3521 sent=3521 dropped=0
2026/05/12 11:21:06 clients=4167 sent=4167 dropped=0
2026/05/12 11:21:07 clients=4743 sent=4743 dropped=0
2026/05/12 11:21:08 clients=5000 sent=5000 dropped=0
2026/05/12 11:21:09 clients=5000 sent=5000 dropped=0
2026/05/12 11:21:10 clients=5000 sent=5000 dropped=0
2026/05/12 11:21:11 clients=5000 sent=5000 dropped=0
2026/05/12 11:21:12 clients=5000 sent=5000 dropped=0
2026/05/12 11:21:13 clients=5000 sent=5000 dropped=0
2026/05/12 11:21:14 clients=5000 sent=5000 dropped=0
2026/05/12 11:21:15 clients=5000 sent=5000 dropped=0
2026/05/12 11:21:16 clients=5000 sent=5000 dropped=0
2026/05/12 11:21:17 clients=5000 sent=5000 dropped=0
2026/05/12 11:21:18 clients=5000 sent=5000 dropped=0
2026/05/12 11:21:19 clients=5000 sent=5000 dropped=0
